layer,nvtx,cell,x,y,z
1,10,0,19.5622,1593.99,4363.89
1,10,0,-19.5622,1593.99,4363.89
1,10,0,18.4073,1499.89,4361.68
1,10,0,-18.4073,1499.89,4361.68
1,10,0,19.5622,1593.99,4326.67
1,10,0,0.269403,1593.99,4326.67
1,10,0,-19.5622,1593.99,4326.67
1,10,0,18.4073,1499.89,4326.67
1,10,0,0.269403,1499.89,4326.67
1,10,0,-18.4073,1499.89,4326.67
1,10,1,19.5619,1593.97,4401.27
1,10,1,-19.5619,1593.97,4401.27
1,10,1,18.4073,1499.89,4396.86
1,10,1,-18.4073,1499.89,4396.86
1,10,1,19.5619,1593.97,4364.03
1,10,1,0.270562,1593.97,4364.03
1,10,1,-19.5619,1593.97,4364.03
1,10,1,18.4073,1499.89,4361.82
1,10,1,0.270562,1499.89,4361.82
1,10,1,-18.4073,1499.89,4361.82
1,10,2,19.5609,1593.89,4438.69
1,10,2,-19.5609,1593.89,4438.69
1,10,2,18.4073,1499.89,4432.07
1,10,2,-18.4073,1499.89,4432.07
1,10,2,19.5609,1593.89,4401.4
1,10,2,0.271721,1593.89,4401.4
1,10,2,-19.5609,1593.89,4401.4
1,10,2,18.4073,1499.89,4397
1,10,2,0.271721,1499.89,4397
1,10,2,-18.4073,1499.89,4397
1,10,3,19.5594,1593.76,4476.16
1,10,3,-19.5594,1593.76,4476.16
1,10,3,18.4073,1499.89,4467.34
1,10,3,-18.4073,1499.89,4467.34
1,10,3,19.5594,1593.76,4438.81
1,10,3,0.272883,1593.76,4438.81
1,10,3,-19.5594,1593.76,4438.81
1,10,3,18.4073,1499.89,4432.21
1,10,3,0.272883,1499.89,4432.21
1,10,3,-18.4073,1499.89,4432.21
1,10,4,19.5571,1593.58,4513.7
1,10,4,-19.5571,1593.58,4513.7
1,10,4,18.4073,1499.89,4502.69
1,10,4,-18.4073,1499.89,4502.69
1,10,4,19.5571,1593.58,4476.27
1,10,4,0.274047,1593.58,4476.27
1,10,4,-19.5571,1593.58,4476.27
1,10,4,18.4073,1499.89,4467.48
1,10,4,0.274047,1499.89,4467.48
1,10,4,-18.4073,1499.89,4467.48
1,10,5,19.5543,1593.35,4551.33
1,10,5,-19.5543,1593.35,4551.33
1,10,5,18.4073,1499.89,4538.14
1,10,5,-18.4073,1499.89,4538.14
1,10,5,19.5543,1593.35,4513.8
1,10,5,0.275213,1593.35,4513.8
1,10,5,-19.5543,1593.35,4513.8
1,10,5,18.4073,1499.89,4502.82
1,10,5,0.275213,1499.89,4502.82
1,10,5,-18.4073,1499.89,4502.82
1,10,6,19.5509,1593.07,4589.06
1,10,6,-19.5509,1593.07,4589.06
1,10,6,18.4073,1499.89,4573.7
1,10,6,-18.4073,1499.89,4573.7
1,10,6,19.5509,1593.07,4551.41
1,10,6,0.276383,1593.07,4551.41
1,10,6,-19.5509,1593.07,4551.41
1,10,6,18.4073,1499.89,4538.26
1,10,6,0.276383,1499.89,4538.26
1,10,6,-18.4073,1499.89,4538.26
1,10,7,19.5468,1592.74,4626.92
1,10,7,-19.5468,1592.74,4626.92
1,10,7,18.4073,1499.89,4609.4
1,10,7,-18.4073,1499.89,4609.4
1,10,7,19.5468,1592.74,4589.12
1,10,7,0.277557,1592.74,4589.12
1,10,7,-19.5468,1592.74,4589.12
1,10,7,18.4073,1499.89,4573.82
1,10,7,0.277557,1499.89,4573.82
1,10,7,-18.4073,1499.89,4573.82
1,10,8,19.5422,1592.36,4664.91
1,10,8,-19.5422,1592.36,4664.91
1,10,8,18.4073,1499.89,4645.26
1,10,8,-18.4073,1499.89,4645.26
1,10,8,19.5422,1592.36,4626.96
1,10,8,0.278734,1592.36,4626.96
1,10,8,-19.5422,1592.36,4626.96
1,10,8,18.4073,1499.89,4609.52
1,10,8,0.278734,1499.89,4609.52
1,10,8,-18.4073,1499.89,4609.52
1,10,9,19.537,1591.94,4703.06
1,10,9,-19.537,1591.94,4703.06
1,10,9,18.4073,1499.89,4681.29
1,10,9,-18.4073,1499.89,4681.29
1,10,9,19.537,1591.94,4664.93
1,10,9,0.279917,1591.94,4664.93
1,10,9,-19.537,1591.94,4664.93
1,10,9,18.4073,1499.89,4645.37
1,10,9,0.279917,1499.89,4645.37
1,10,9,-18.4073,1499.89,4645.37
1,10,10,19.5312,1591.47,4741.38
1,10,10,-19.5312,1591.47,4741.38
1,10,10,18.4073,1499.89,4717.51
1,10,10,-18.4073,1499.89,4717.51
1,10,10,19.5312,1591.47,4703.05
1,10,10,0.281105,1591.47,4703.05
1,10,10,-19.5312,1591.47,4703.05
1,10,10,18.4073,1499.89,4681.39
1,10,10,0.281105,1499.89,4681.39
1,10,10,-18.4073,1499.89,4681.39
1,10,11,19.5249,1590.95,4779.9
1,10,11,-19.5249,1590.95,4779.9
1,10,11,18.4073,1499.89,4753.95
1,10,11,-18.4073,1499.89,4753.95
1,10,11,19.5249,1590.95,4741.35
1,10,11,0.282299,1590.95,4741.35
1,10,11,-19.5249,1590.95,4741.35
1,10,11,18.4073,1499.89,4717.61
1,10,11,0.282299,1499.89,4717.61
1,10,11,-18.4073,1499.89,4717.61
1,10,12,19.518,1590.39,4818.63
1,10,12,-19.518,1590.39,4818.63
1,10,12,18.4073,1499.89,4790.62
1,10,12,-18.4073,1499.89,4790.62
1,10,12,19.518,1590.39,4779.84
1,10,12,0.2835,1590.39,4779.84
1,10,12,-19.518,1590.39,4779.84
1,10,12,18.4073,1499.89,4754.05
1,10,12,0.2835,1499.89,4754.05
1,10,12,-18.4073,1499.89,4754.05
1,10,13,19.5106,1589.79,4857.58
1,10,13,-19.5106,1589.79,4857.58
1,10,13,18.4073,1499.89,4827.55
1,10,13,-18.4073,1499.89,4827.55
1,10,13,19.5106,1589.79,4818.53
1,10,13,0.284707,1589.79,4818.53
1,10,13,-19.5106,1589.79,4818.53
1,10,13,18.4073,1499.89,4790.71
1,10,13,0.284707,1499.89,4790.71
1,10,13,-18.4073,1499.89,4790.71
1,10,14,19.5027,1589.14,4896.79
1,10,14,-19.5027,1589.14,4896.79
1,10,14,18.4073,1499.89,4864.76
1,10,14,-18.4073,1499.89,4864.76
1,10,14,19.5027,1589.14,4857.45
1,10,14,0.285923,1589.14,4857.45
1,10,14,-19.5027,1589.14,4857.45
1,10,14,18.4073,1499.89,4827.64
1,10,14,0.285923,1499.89,4827.64
1,10,14,-18.4073,1499.89,4827.64
1,10,15,19.4943,1588.46,4936.26
1,10,15,-19.4943,1588.46,4936.26
1,10,15,18.4073,1499.89,4902.26
1,10,15,-18.4073,1499.89,4902.26
1,10,15,19.4943,1588.46,4896.62
1,10,15,0.287146,1588.46,4896.62
1,10,15,-19.4943,1588.46,4896.62
1,10,15,18.4073,1499.89,4864.84
1,10,15,0.287146,1499.89,4864.84
1,10,15,-18.4073,1499.89,4864.84
1,10,16,19.4855,1587.74,4976.01
1,10,16,-19.4855,1587.74,4976.01
1,10,16,18.4073,1499.89,4940.07
1,10,16,-18.4073,1499.89,4940.07
1,10,16,19.4855,1587.74,4936.06
1,10,16,0.288379,1587.74,4936.06
1,10,16,-19.4855,1587.74,4936.06
1,10,16,18.4073,1499.89,4902.33
1,10,16,0.288379,1499.89,4902.33
1,10,16,-18.4073,1499.89,4902.33
1,10,17,19.4762,1586.99,5016.07
1,10,17,-19.4762,1586.99,5016.07
1,10,17,18.4073,1499.89,4978.23
1,10,17,-18.4073,1499.89,4978.23
1,10,17,19.4762,1586.99,4975.77
1,10,17,0.28962,1586.99,4975.77
1,10,17,-19.4762,1586.99,4975.77
